model,bias,mape,me,mae,mpe,rmse,acf1,corr
fcast_50,-112.4956747713882,0.12970289661850212,-2.1633783609882347,2.322667435712007,-0.11779996310361095,3.1224078800223523,-0.16603069728610872,0.9102994014026518
fcast_avg,-60.871948615390224,0.09329003999026157,-1.170614396449812,1.6893884508493708,-0.0597132794828803,2.307048177302097,-0.18798487466731473,0.9308149432937385
fcast_05,-428.99803186466454,0.47550822816239374,-8.24996215124355,8.24996215124355,-0.47550822816239374,8.973475101101432,-0.014184692539832332,0.7608738102295126
fcast_95,488.713390558257,0.5610495029176975,9.398334433812634,9.398334433812634,0.5610495029176975,10.720052594505974,0.1824364114502025,0.8237918543555451
yar,-101.17719035476364,0.25638411511542736,-1.94571519913007,4.366139783749973,-0.10081650455483473,5.812057394864212,-0.10223084723985142,0.6244166317444712
yhw,-57.4973819265582,0.23979333878551862,-1.1057188832030422,4.1312439003264005,-0.04961581527735064,5.728422327802824,-0.06646035239509199,0.6177876664211455
ysvm,-58.44878260805545,0.24678550952698422,-1.1240150501549127,4.239990531095573,-0.05034338206704891,6.0092195081437145,-0.054372619655518616,0.5946168254895556
ylstm,-67.69293185644678,0.25389207756362264,-1.301787151085515,4.357368075882006,-0.06212512227426528,6.004746555925055,-0.078239454525671,0.6031797893378347
ymlp,-99.71150270494437,0.25486605083035446,-1.9175288981720071,4.396603552959162,-0.09607860717847348,5.770278789809491,-0.06978993530395286,0.6104660942576485
yrf,83.5443637503221,0.2685982461042037,1.6066223798138866,4.664318145765715,0.1056888966190009,6.639649109401156,0.0640296973989041,0.6114018454586798
yxgb,208.8485202130895,0.36618205919347635,4.016317696405567,6.26224525472916,0.2525780665937233,9.102575057372382,0.12711438117715848,0.5248467337020258
yarima,-956.0,1.0647184226977817,-18.384615384615383,18.384615384615383,-1.0647184226977817,19.172295717438825,0.146068452999146,
